pk	evidence	params
107	[-4396. -4396.  1023. -4396. -4396.]	[1.985 5.    5.    3.519 3.676 0.5   3.494 4.82 ]
32	[-4299. -4299.  1023. -4299. -4299.]	[2.85  5.    5.    3.263 3.461 0.223 4.404 4.582]
56	[-4308. -4308. -4308. -4308. -4308.]	[2.885 5.    5.    3.327 3.477 0.252 4.401 4.614]
182	[-4214. -4214.  1022. -4214. -4214.]	[ 0.893  5.     5.     2.429  3.609 -0.075  2.958  4.499]
7	[-4304. -4304.  1023. -4304. -4304.]	[2.757 5.    5.    3.25  3.461 0.23  4.343 4.589]
82	[-4410. -4410.  1022. -4410. -4410.]	[1.977 5.    5.    3.693 3.607 0.498 3.609 4.872]
108	[-4392.  1023.  1023. -4392. -4392.]	[2.043 5.    5.    3.496 3.663 0.489 3.554 4.81 ]
157	[-4372. -4372.  1022. -4372. -4372.]	[0.74  5.    5.    2.293 3.672 0.553 2.888 4.884]
132	[-4386. -4386.  1022. -4386. -4386.]	[1.473 5.    5.    3.04  3.682 0.521 3.228 4.807]
33	[-4297.  1023.  1023. -4297. -4297.]	[2.859 5.    5.    3.257 3.46  0.219 4.412 4.578]
183	[-4219.  1022.  1022. -4219. -4219.]	[ 0.754  5.     5.     2.402  3.591 -0.079  2.9    4.521]
83	[-4401.  1023.  1023. -4401. -4401.]	[2.087 5.    5.    3.656 3.62  0.482 3.649 4.849]
158	[-4372.  1022.  1022. -4372. -4372.]	[0.758 5.    5.    2.295 3.671 0.554 2.9   4.88 ]
8	[-4300.  1023.  1023. -4300. -4300.]	[2.784 5.    5.    3.239 3.457 0.221 4.366 4.579]
57	[-4307. -4307.  1023. -4307. -4307.]	[2.887 5.    5.    3.324 3.476 0.249 4.404 4.611]
133	[-4385.  1022.  1022. -4385. -4385.]	[1.501 5.    5.    3.035 3.674 0.518 3.257 4.806]
109	[-4389. -4389. -4389. -4389. -4389.]	[2.081 5.    5.    3.475 3.649 0.479 3.606 4.8  ]
184	[-4222. -4222. -4222. -4222. -4222.]	[ 0.597  5.     5.     2.36   3.564 -0.082  2.851  4.522]
34	[-4296. -4296. -4296. -4296. -4296.]	[2.867 5.    5.    3.253 3.459 0.215 4.42  4.575]
58	[-4307.  1023.  1023. -4307. -4307.]	[2.887 5.    5.    3.319 3.475 0.246 4.409 4.609]
84	[-4393. -4393. -4393. -4393. -4393.]	[2.186 5.    5.    3.622 3.621 0.464 3.705 4.826]
9	[-4297. -4297. -4297. -4297. -4297.]	[2.808 5.    5.    3.23  3.455 0.213 4.386 4.571]
159	[-4372. -4372. -4372. -4372. -4372.]	[0.773 5.    5.    2.298 3.669 0.554 2.91  4.879]
110	[-4386. -4386. -4386. -4386.  1023.]	[2.116 5.    5.    3.46  3.638 0.47  3.649 4.791]
134	[-4384. -4384. -4384. -4384. -4384.]	[1.524 5.    5.    3.03  3.668 0.515 3.28  4.805]
10	[-4294. -4294. -4294. -4294.  1023.]	[2.828 5.    5.    3.223 3.453 0.207 4.402 4.564]
185	[-4228. -4228. -4228. -4228.  1022.]	[ 0.468  5.     5.     2.331  3.553 -0.082  2.804  4.556]
35	[-4295. -4295. -4295. -4295.  1023.]	[2.874 5.    5.    3.25  3.458 0.213 4.426 4.572]
85	[-4386. -4386. -4386. -4386.  1023.]	[2.273 5.    5.    3.594 3.616 0.447 3.769 4.804]
59	[-4306. -4306. -4306. -4306. -4306.]	[2.888 5.    5.    3.316 3.473 0.244 4.411 4.607]
160	[-4288. -4288. -4288. -4288.  1022.]	[0.    5.    5.    2.271 3.469 0.021 2.731 4.868]
135	[-4383. -4383. -4383. -4383.  1022.]	[1.542 5.    5.    3.026 3.663 0.512 3.3   4.803]
111	[-4384. -4384. -4384. -4384. -4384.]	[2.143 5.    5.    3.448 3.628 0.462 3.686 4.784]
11	[-4291. -4291. -4291. -4291. -4291.]	[2.846 5.    5.    3.218 3.452 0.203 4.415 4.559]
186	[-4234. -4234. -4234. -4234. -4234.]	[ 0.243  5.     5.     2.274  3.511 -0.088  2.743  4.517]
60	[-4396. -4396. -4396. -4396.  1022.]	[1.998 5.    5.    3.617 3.459 0.427 3.899 4.821]
36	[-4294. -4294. -4294. -4294. -4294.]	[2.879 5.    5.    3.247 3.458 0.21  4.431 4.569]
86	[-4380. -4380. -4380. -4380. -4380.]	[2.353 5.    5.    3.572 3.608 0.433 3.835 4.787]
161	[-4290. -4290. -4290. -4290. -4290.]	[0.    5.    5.    2.261 3.496 0.036 2.686 4.908]
136	[-4383. -4383. -4383. -4383. -4383.]	[1.558 5.    5.    3.023 3.658 0.51  3.317 4.802]
112	[-4382. -4382. -4382. -4382. -4382.]	[2.166 5.    5.    3.438 3.62  0.456 3.716 4.777]
187	[-4239. -4239. -4239. -4239. -4239.]	[ 0.137  5.     5.     2.25   3.486 -0.087  2.719  4.533]
61	[-4390. -4390. -4390. -4390. -4390.]	[2.105 5.    5.    3.595 3.495 0.423 3.889 4.808]
87	[-4375. -4375. -4375. -4375. -4375.]	[2.424 5.    5.    3.555 3.6   0.422 3.896 4.775]
12	[-4289. -4289. -4289. -4289. -4289.]	[2.86  5.    5.    3.213 3.451 0.199 4.425 4.555]
37	[-4293. -4293. -4293. -4293. -4293.]	[2.883 5.    5.    3.244 3.457 0.208 4.435 4.567]
162	[-4293. -4293. -4293. -4293. -4293.]	[0.    5.    5.    2.254 3.524 0.053 2.649 4.95 ]
137	[-4382. -4382. -4382. -4382. -4382.]	[1.57  5.    5.    3.021 3.654 0.507 3.331 4.8  ]
113	[-4380. -4380. -4380. -4380. -4380.]	[2.184 5.    5.    3.429 3.614 0.451 3.741 4.772]
62	[-4383. -4383. -4383. -4383. -4383.]	[2.226 5.    5.    3.573 3.523 0.416 3.908 4.792]
188	[-4242. -4242. -4242. -4242. -4242.]	[ 0.044  5.     5.     2.226  3.461 -0.086  2.701  4.547]
13	[-4288. -4288. -4288. -4288. -4288.]	[2.87  5.    5.    3.209 3.452 0.195 4.434 4.55 ]
38	[-4292. -4292. -4292. -4292. -4292.]	[2.888 5.    5.    3.242 3.457 0.207 4.438 4.565]
88	[-4371. -4371. -4371. -4371. -4371.]	[2.486 5.    5.    3.541 3.592 0.414 3.95  4.766]
163	[-4297. -4297. -4297. -4297. -4297.]	[0.    5.    5.    2.243 3.534 0.07  2.631 5.   ]
138	[-4381. -4381. -4381. -4381. -4381.]	[1.581 5.    5.    3.017 3.649 0.505 3.345 4.799]
114	[-4379.  1023. -4379. -4379. -4379.]	[2.201 5.    5.    3.423 3.608 0.447 3.763 4.768]
63	[-4375. -4375. -4375. -4375. -4375.]	[2.348 5.    5.    3.551 3.543 0.407 3.945 4.777]
39	[-4291.  1023. -4291. -4291. -4291.]	[2.891 5.    5.    3.24  3.456 0.205 4.441 4.564]
14	[-4286.  1023. -4286. -4286. -4286.]	[2.881 5.    5.    3.206 3.451 0.193 4.441 4.547]
189	[-4246.  1022. -4246. -4246. -4246.]	[ 0.     5.     5.     2.21   3.449 -0.081  2.699  4.569]
89	[-4367.  1023. -4367. -4367. -4367.]	[2.538 5.    5.    3.531 3.585 0.407 3.998 4.76 ]
164	[-4300.  1022. -4300. -4300. -4300.]	[0.    5.    5.    2.225 3.541 0.09  2.627 5.   ]
139	[-4381.  1023. -4381. -4381. -4381.]	[1.591 5.    5.    3.015 3.647 0.504 3.355 4.799]
64	[-4368.  1023. -4368. -4368. -4368.]	[2.464 5.    5.    3.532 3.553 0.398 3.997 4.763]
115	[ 1023. -4377. -4377. -4377. -4377.]	[2.215 5.    5.    3.417 3.604 0.443 3.781 4.765]
15	[ 1023. -4285. -4285. -4285. -4285.]	[2.889 5.    5.    3.204 3.451 0.19  4.447 4.544]
190	[ 1022. -4249. -4249. -4249. -4249.]	[ 0.     5.     5.     2.204  3.446 -0.074  2.707  4.602]
40	[ 1022. -4373. -4373. -4373. -4373.]	[2.189 5.    5.    3.501 3.432 0.375 4.068 4.749]
90	[ 1023. -4364. -4364. -4364. -4364.]	[2.582 5.    5.    3.523 3.579 0.402 4.036 4.755]
165	[ 1022. -4305. -4305. -4305. -4305.]	[0.    5.    5.    2.21  3.549 0.112 2.624 5.   ]
140	[ 1022. -4361. -4361. -4361. -4361.]	[0.    5.    5.    2.375 3.6   0.317 2.658 5.   ]
116	[-4376. -4376.  1023. -4376. -4376.]	[2.225 5.    5.    3.412 3.599 0.44  3.796 4.762]
65	[ 1023. -4361. -4361. -4361. -4361.]	[2.569 5.    5.    3.517 3.557 0.39  4.055 4.751]
191	[-4252. -4252.  1022. -4252. -4252.]	[ 0.     5.     5.     2.2    3.442 -0.067  2.715  4.626]
166	[-4309. -4309.  1022. -4309. -4309.]	[0.    5.    5.    2.187 3.554 0.14  2.628 5.   ]
41	[-4367. -4367.  1023. -4367. -4367.]	[2.3   5.    5.    3.489 3.464 0.374 4.067 4.745]
91	[-4362. -4362.  1023. -4362. -4362.]	[2.618 5.    5.    3.516 3.574 0.398 4.069 4.751]
16	[-4284. -4284. -4284. -4284. -4284.]	[2.895 5.    5.    3.201 3.451 0.188 4.451 4.542]
141	[-4360. -4360.  1022. -4360. -4360.]	[0.    5.    5.    2.366 3.629 0.329 2.608 5.   ]
117	[-4375. -4375.  1023. -4375.  1023.]	[2.236 5.    5.    3.407 3.596 0.437 3.809 4.759]
192	[-4254. -4254.  1022. -4254.  1022.]	[ 0.     5.     5.     2.195  3.438 -0.061  2.722  4.65 ]
66	[-4355. -4355.  1023. -4355. -4355.]	[2.659 5.    5.    3.504 3.557 0.382 4.112 4.742]
