pk	evidence	params
303	[-2733. -2733. -2733. -2733. -2733.]	[ 1.404  3.457  4.413  2.246  2.346 -1.082  1.628  2.627]
254	[-3807. -3807. -3807. -3807. -3807.]	[ 3.974  4.084  5.     3.333  3.94  -0.449  3.094  5.   ]
378	[-2770. -2770. -2770. -2770. -2770.]	[ 1.453  3.017  4.434  2.816  2.411 -0.869  1.121  2.796]
205	[-4134. -4134. -4134. -4134. -4134.]	[ 1.973  4.788  5.     2.597  3.762 -0.144  3.263  4.554]
279	[-3116. -3116. -3116. -3116. -3116.]	[ 4.044  3.49   5.     2.793  3.065 -0.81   2.473  4.179]
353	[-2267. -2267. -2267. -2267. -2267.]	[ 1.596  3.523  4.318  2.93   2.104 -1.113  1.246  1.749]
230	[-4044. -4044. -4044. -4044. -4044.]	[ 3.113  4.591  5.     2.861  3.885 -0.209  3.507  4.68 ]
255	[-3810. -3810. -3810. -3810. -3810.]	[ 3.96   4.086  5.     3.349  3.938 -0.451  3.094  5.   ]
329	[-3306. -3306. -3306. -3306. -3306.]	[ 3.136  3.434  4.937  3.365  3.019 -0.529  1.742  3.561]
304	[-2741. -2741. -2741. -2741. -2741.]	[ 1.263  3.542  4.221  2.133  2.415 -1.135  1.731  2.619]
206	[-4143. -4143. -4143. -4143. -4143.]	[ 1.814  4.833  5.     2.537  3.741 -0.145  3.211  4.531]
379	[-2786. -2786. -2786. -2786. -2786.]	[ 1.739  3.031  4.569  2.855  2.481 -0.84   1.16   2.858]
231	[-4047. -4047. -4047. -4047. -4047.]	[ 3.111  4.604  5.     2.868  3.883 -0.209  3.51   4.698]
354	[-2288. -2288. -2288. -2288. -2288.]	[ 2.052  3.662  4.386  2.991  2.153 -1.043  1.293  1.805]
280	[-2362. -2362. -2362. -2362. -2362.]	[ 4.367  3.65   5.     2.576  2.247 -0.994  2.629  2.783]
256	[-3812. -3812. -3812. -3812. -3812.]	[ 3.948  4.091  5.     3.362  3.937 -0.452  3.095  5.   ]
305	[-2751. -2751. -2751. -2751. -2751.]	[ 1.381  3.624  4.382  2.336  2.406 -1.103  1.551  2.651]
207	[-4148. -4148. -4148. -4148. -4148.]	[ 1.746  4.839  5.     2.528  3.73  -0.145  3.191  4.554]
330	[-3300. -3300. -3300. -3300. -3300.]	[ 3.201  3.166  4.841  3.325  3.206 -0.54   1.869  3.592]
380	[-2119. -2119. -2119. -2119. -2119.]	[ 0.612  1.54   4.38   2.085  1.893 -0.861  1.14   1.99 ]
232	[-4050. -4050. -4050. -4050. -4050.]	[ 3.105  4.616  5.     2.865  3.88  -0.207  3.515  4.718]
281	[-2313. -2360. -2313. -2360. -2360.]	[ 4.632  3.937  5.     2.415  2.319 -0.9    2.525  2.725]
355	[-2304. -2304. -2304. -2304. -2304.]	[ 2.196  3.761  4.425  3.037  2.192 -1.027  1.294  1.815]
257	[-3813. -3813. -3813. -3813. -3813.]	[ 3.941  4.095  5.     3.378  3.935 -0.453  3.094  5.   ]
331	[-3318. -3318. -3318. -3318. -3318.]	[ 3.181  3.354  4.884  3.369  3.167 -0.541  1.783  3.63 ]
306	[-2784. -2784. -2784. -2784. -2784.]	[ 2.052  3.849  4.482  2.309  2.575 -1.021  1.695  2.751]
208	[-4151. -4151. -4151. -4151. -4151.]	[ 1.712  4.859  5.     2.519  3.721 -0.143  3.184  4.573]
233	[-4052. -4052. -4052. -4052. -4052.]	[ 3.095  4.624  5.     2.866  3.876 -0.206  3.52   4.733]
381	[-2089. -2089. -2089. -2089. -2089.]	[ 0.037  1.703  4.377  2.434  1.563 -1.003  0.793  2.128]
282	[-2378. -2378. -2378. -2378. -2378.]	[ 4.445  3.855  4.94   2.467  2.354 -0.954  2.561  2.694]
258	[-3815. -3815. -3815. -3815. -3815.]	[ 3.938  4.096  5.     3.393  3.936 -0.453  3.093  5.   ]
356	[-2306. -2306. -2306. -2306. -2306.]	[ 2.161  3.796  4.467  3.031  2.209 -1.033  1.271  1.804]
332	[-3343. -3343. -3343. -3343. -3343.]	[ 3.309  3.417  4.957  3.382  3.336 -0.547  1.805  3.668]
307	[-2792. -2792. -2792. -2792. -2792.]	[ 2.081  3.895  4.481  2.303  2.614 -1.021  1.69   2.759]
209	[-4154. -4154. -4154. -4154. -4154.]	[ 1.668  4.872  5.     2.507  3.713 -0.141  3.178  4.584]
234	[-4054. -4054. -4054. -4054. -4054.]	[ 3.09   4.628  5.     2.876  3.872 -0.206  3.525  4.742]
210	[-4158. -4158.  1022. -4158. -4158.]	[ 1.637  4.878  5.     2.503  3.706 -0.139  3.175  4.599]
382	[-2097. -2097. -2097. -2097. -2097.]	[ 0.108  1.68   4.115  2.186  1.582 -0.926  1.036  1.862]
283	[-2390. -2390. -2390. -2390. -2390.]	[ 4.573  3.959  4.99   2.444  2.381 -0.93   2.559  2.678]
259	[-3818. -3818. -3818. -3818. -3818.]	[ 3.935  4.095  5.     3.405  3.941 -0.453  3.095  5.   ]
235	[-4057. -4057.  1022. -4057. -4057.]	[ 3.091  4.634  5.     2.884  3.869 -0.205  3.531  4.751]
357	[-2309. -2309. -2309. -2309. -2309.]	[ 2.091  3.788  4.461  2.999  2.189 -1.041  1.267  1.806]
333	[-3337. -3337. -3337. -3337. -3337.]	[ 3.213  3.377  4.937  3.347  3.402 -0.57   1.839  3.63 ]
308	[-2794. -2794. -2794. -2794. -2794.]	[ 2.007  3.938  4.496  2.296  2.648 -1.03   1.633  2.75 ]
211	[-4160. -4160. -4160. -4160. -4160.]	[ 1.617  4.889  5.     2.5    3.7   -0.137  3.173  4.612]
383	[-2142. -2142. -2142. -2142. -2142.]	[ 0.572  1.837  4.387  2.161  1.693 -0.916  1.104  2.05 ]
260	[-3055. -3055.  1031. -3055. -3055.]	[ 4.104  3.128  5.     2.808  2.969 -0.833  2.639  4.351]
236	[-4058. -4058. -4058. -4058. -4058.]	[ 3.092  4.643  5.     2.89   3.867 -0.204  3.536  4.761]
284	[-2396. -2396. -2396. -2396. -2396.]	[ 4.596  3.956  4.963  2.451  2.408 -0.924  2.564  2.66 ]
358	[-2305. -2305. -2305. -2305. -2305.]	[ 1.985  3.745  4.409  2.957  2.143 -1.051  1.275  1.805]
334	[-3352. -3352. -3352. -3352. -3352.]	[ 3.451  3.476  4.935  3.404  3.464 -0.558  1.88   3.741]
309	[-2798. -2798. -2798. -2798. -2798.]	[ 1.971  3.95   4.443  2.241  2.667 -1.04   1.678  2.736]
212	[-4163. -4163. -4163. -4163. -4163.]	[ 1.598  4.9    5.     2.494  3.694 -0.134  3.173  4.628]
237	[-4060. -4060. -4060. -4060. -4060.]	[ 3.088  4.65   5.     2.898  3.865 -0.204  3.537  4.769]
261	[-3046. -3046. -3046. -3046. -3046.]	[ 4.43   3.188  5.     2.76   3.132 -0.827  2.812  4.554]
384	[-2114. -2114. -2114. -2114. -2114.]	[ 0.012  1.661  3.996  1.973  1.684 -0.971  1.081  1.96 ]
335	[-3370. -3370.  1027. -3370. -3370.]	[ 3.615  3.572  4.958  3.436  3.531 -0.551  1.904  3.795]
285	[-2394. -2394.  1045. -2394. -2394.]	[ 4.583  3.948  4.879  2.448  2.425 -0.926  2.563  2.673]
310	[-2797. -2797.  1033. -2797. -2797.]	[ 1.999  3.957  4.417  2.224  2.672 -1.035  1.705  2.738]
359	[-2304. -2304. -2304. -2304. -2304.]	[ 1.999  3.718  4.419  2.955  2.121 -1.048  1.292  1.81 ]
213	[-4165. -4165. -4165. -4165. -4165.]	[ 1.58   4.908  5.     2.491  3.688 -0.132  3.173  4.64 ]
238	[-4062. -4062. -4062. -4062. -4062.]	[ 3.086  4.655  5.     2.907  3.866 -0.204  3.538  4.776]
262	[-3057. -3057. -3057. -3057. -3057.]	[ 4.206  3.375  5.     2.825  2.906 -0.863  2.787  4.311]
385	[-2139. -2139.  1038. -2139. -2139.]	[ 0.     1.749  4.063  2.097  1.692 -1.014  0.971  2.085]
336	[-3371. -3371. -3371. -3371. -3371.]	[ 3.606  3.608  4.996  3.44   3.561 -0.548  1.883  3.762]
214	[-4167. -4167.  1022.  1022. -4167.]	[ 1.566  4.916  5.     2.491  3.682 -0.13   3.173  4.647]
239	[-4064. -4064.  1022.  1022. -4064.]	[ 3.088  4.66   5.     2.916  3.867 -0.203  3.541  4.781]
360	[-2468. -2468.  1033. -2468. -2468.]	[ 1.316  1.767  4.463  2.608  2.302 -0.777  1.158  2.61 ]
286	[-2417. -2417. -2417. -2417. -2417.]	[ 4.56   3.99   5.     2.481  2.381 -0.94   2.556  2.723]
311	[-2803. -2803. -2803. -2803. -2803.]	[ 2.16   4.008  4.481  2.269  2.699 -1.005  1.672  2.767]
263	[-3064. -3064. -3064. -3064. -3064.]	[ 4.062  3.415  5.     2.775  2.941 -0.854  2.658  4.15 ]
215	[-4169. -4169. -4169. -4169. -4169.]	[ 1.558  4.924  5.     2.493  3.677 -0.128  3.174  4.655]
386	[-2190. -2190. -2190. -2190. -2190.]	[ 0.921  1.936  4.533  2.2    2.07  -0.867  0.94   2.173]
287	[-2420.  1044. -2420. -2420. -2420.]	[ 4.531  3.993  5.     2.481  2.373 -0.943  2.552  2.719]
361	[-2420. -2420. -2420. -2420. -2420.]	[ 0.591  1.813  4.407  2.569  2.087 -0.794  0.823  2.497]
337	[-3372. -3372. -3372. -3372. -3372.]	[ 3.59   3.614  5.     3.461  3.562 -0.54   1.846  3.75 ]
264	[-3063. -3063.  1031.  1031. -3063.]	[ 4.006  3.43   5.     2.768  2.961 -0.836  2.569  4.015]
240	[-3679. -3679. -3679. -3679. -3679.]	[ 3.351  3.393  5.     3.12   3.442 -0.52   3.056  4.625]
312	[-2811. -2811. -2811. -2811. -2811.]	[ 2.283  4.019  4.516  2.296  2.709 -0.986  1.684  2.788]
216	[ 1022. -4171. -4171. -4171. -4171.]	[ 1.553  4.932  5.     2.493  3.675 -0.126  3.176  4.663]
241	[ 1025. -3696. -3696. -3696. -3696.]	[ 3.533  3.694  5.     3.133  3.745 -0.518  3.024  4.668]
387	[-2193. -2193. -2193. -2193. -2193.]	[ 0.849  1.958  4.454  2.167  2.074 -0.906  0.966  2.219]
362	[-2456. -2456. -2456. -2456. -2456.]	[ 0.552  1.921  4.108  2.775  1.881 -0.839  1.051  2.203]
338	[-3372. -3372. -3372. -3372. -3372.]	[ 3.622  3.605  5.     3.487  3.574 -0.531  1.829  3.765]
217	[-4172. -4172. -4172. -4172.  1022.]	[ 1.547  4.939  5.     2.496  3.672 -0.124  3.177  4.67 ]
265	[-3081. -3081. -3081. -3081. -3081.]	[ 4.32   3.485  5.     2.846  2.996 -0.822  2.665  4.253]
288	[-2422. -2422. -2422. -2422. -2422.]	[ 4.529  4.006  5.     2.457  2.386 -0.944  2.551  2.724]
313	[-2811. -2811. -2811. -2811. -2811.]	[ 2.263  4.     4.513  2.293  2.703 -0.986  1.683  2.78 ]
339	[-3384. -3384.  1027.  1027. -3384.]	[ 3.658  3.584  5.     3.482  3.631 -0.534  1.864  3.789]
242	[-3716. -3716. -3716. -3716.  1025.]	[ 3.67   3.846  5.     3.144  3.735 -0.506  3.104  4.646]
289	[-2421. -2421.  1044.  1044. -2421.]	[ 4.468  3.984  5.     2.467  2.372 -0.958  2.56   2.722]
314	[-2810. -2810.  1033.  1033. -2810.]	[ 2.223  4.     4.522  2.305  2.709 -0.987  1.644  2.77 ]
363	[-2471. -2471. -2471. -2471. -2471.]	[ 1.204  2.032  4.264  2.694  2.049 -0.779  1.174  2.397]
266	[ 1030. -3110. -3110. -3110. -3110.]	[ 4.256  3.527  5.     2.82   3.051 -0.798  2.543  4.224]
218	[-4174. -4174. -4174. -4174. -4174.]	[ 1.539  4.943  5.     2.498  3.669 -0.123  3.177  4.675]
388	[-2192. -2192. -2192. -2192. -2192.]	[ 0.642  1.948  4.414  2.125  2.116 -0.926  0.895  2.161]
243	[-3731. -3731. -3731. -3731. -3731.]	[ 3.78   3.932  5.     3.173  3.761 -0.502  3.151  4.727]
364	[-2422. -2422.  1032.  1032. -2422.]	[ 0.374  1.868  3.876  2.476  1.905 -0.897  1.146  2.32 ]
340	[-2130. -2130. -2130. -2130. -2130.]	[ 1.851  2.123  4.972  3.233  1.728 -0.989  1.329  2.064]
290	[-2418. -2418. -2418. -2418. -2418.]	[ 4.397  3.957  5.     2.487  2.349 -0.974  2.569  2.712]
389	[-2219. -2219.  1037.  1037. -2219.]	[ 1.039  2.028  4.554  2.084  2.249 -0.775  0.877  2.055]
267	[-3112. -3112. -3112. -3112.  1030.]	[ 4.23   3.534  5.     2.81   3.058 -0.794  2.518  4.211]
315	[-2812. -2812. -2812. -2812. -2812.]	[ 2.138  3.993  4.52   2.319  2.714 -0.997  1.603  2.755]
219	[-4175. -4175. -4175. -4175. -4175.]	[ 1.54   4.95   5.     2.501  3.67  -0.121  3.177  4.681]
244	[-3728. -3728. -3728. -3728. -3728.]	[ 3.672  3.897  5.     3.14   3.766 -0.509  3.087  4.724]
291	[ 1043. -2420. -2420. -2420. -2420.]	[ 4.401  3.969  5.     2.476  2.347 -0.968  2.566  2.708]
341	[ 1045. -2110. -2110. -2110. -2110.]	[ 1.51   2.088  4.977  3.074  1.632 -1.014  1.4    1.88 ]
365	[-2517. -2517. -2517. -2517. -2517.]	[ 0.631  1.99   3.704  2.825  2.041 -0.882  1.133  2.458]
316	[ 1033. -2813. -2813. -2813. -2813.]	[ 2.07   3.981  4.512  2.322  2.716 -1.008  1.588  2.743]
390	[-2199. -2199. -2199. -2199. -2199.]	[ 0.58   1.96   4.378  1.956  2.172 -0.84   0.845  2.06 ]
268	[-3110. -3110. -3110. -3110. -3110.]	[ 4.184  3.525  5.     2.8    3.047 -0.797  2.51   4.199]
220	[-3944. -3944. -3944. -3944. -3944.]	[ 2.763  4.076  5.     2.799  3.752 -0.294  3.454  4.297]
292	[-2419. -2419. -2419. -2419.  1043.]	[ 4.439  3.987  5.     2.473  2.346 -0.956  2.547  2.715]
366	[ 1032. -2644. -2644. -2644. -2644.]	[ 2.469  2.373  4.606  3.185  2.475 -0.712  1.238  2.994]
245	[-3750. -3750. -3750. -3750. -3750.]	[ 4.047  4.023  5.     3.266  3.775 -0.454  3.187  4.85 ]
342	[-2094. -2094. -2094. -2094.  1044.]	[ 1.172  1.723  4.988  3.419  1.345 -1.024  1.124  2.559]
391	[ 1036. -2213. -2213. -2213. -2213.]	[ 0.343  2.005  4.207  1.957  2.075 -0.947  0.862  2.175]
317	[-2813. -2813. -2813. -2813.  1032.]	[ 2.101  3.989  4.513  2.306  2.723 -1.008  1.619  2.746]
269	[-3111. -3111. -3111. -3111. -3111.]	[ 4.16   3.507  5.     2.795  3.06  -0.801  2.512  4.183]
221	[-3964. -3964. -3964. -3964. -3964.]	[ 3.159  4.275  5.     2.852  3.896 -0.244  3.517  4.392]
293	[-2416.  1043. -2416. -2416. -2416.]	[ 4.488  3.996  5.     2.478  2.343 -0.944  2.538  2.724]
367	[-2658. -2658. -2658. -2658.  1031.]	[ 2.304  2.39   4.587  3.161  2.48  -0.729  1.217  2.979]
246	[-3785. -3785. -3785. -3785. -3785.]	[ 4.036  4.075  5.     3.224  3.85  -0.451  3.152  4.896]
343	[-2110. -2110. -2110. -2110. -2110.]	[ 1.036  2.022  4.768  3.056  1.583 -1.108  1.334  1.891]
392	[-2238. -2238. -2238. -2238.  1036.]	[ 0.175  2.05   4.219  2.046  2.019 -1.034  0.864  2.204]
222	[-3984. -3984. -3984. -3984. -3984.]	[ 3.198  4.349  5.     2.883  3.899 -0.221  3.505  4.358]
318	[-2811. -2811. -2811. -2811. -2811.]	[ 2.205  4.013  4.525  2.294  2.736 -0.995  1.657  2.756]
270	[-3112. -3112. -3112. -3112. -3112.]	[ 4.162  3.495  5.     2.8    3.07  -0.803  2.522  4.19 ]
294	[-2416. -2416. -2416. -2416. -2416.]	[ 4.518  3.994  5.     2.486  2.34  -0.939  2.544  2.727]
247	[-3790. -3790. -3790. -3790. -3790.]	[ 3.976  4.052  5.     3.236  3.88  -0.453  3.102  4.925]
368	[-2673. -2673. -2673. -2673. -2673.]	[ 2.449  2.449  4.645  3.07   2.581 -0.7    1.206  3.005]
393	[-2244. -2244. -2244. -2244. -2244.]	[ 0.013  2.079  4.23   2.064  1.995 -1.065  0.824  2.159]
271	[-3113. -3113. -3113. -3113. -3113.]	[ 4.129  3.495  5.     2.797  3.063 -0.804  2.508  4.19 ]
223	[-3996. -3996. -3996. -3996. -3996.]	[ 3.253  4.417  5.     2.903  3.906 -0.215  3.518  4.441]
344	[-2121. -2121. -2121. -2121. -2121.]	[ 0.813  2.039  4.804  2.99   1.533 -1.165  1.413  1.812]
319	[-2812. -2812. -2812. -2812. -2812.]	[ 2.284  4.029  4.534  2.299  2.756 -0.982  1.663  2.763]
248	[-3791. -3791. -3791. -3791. -3791.]	[ 3.983  4.086  5.     3.248  3.878 -0.452  3.088  4.949]
295	[-2418. -2418. -2418. -2418.  1043.]	[ 4.509  3.995  5.     2.485  2.345 -0.94   2.544  2.719]
369	[-2698. -2698. -2698. -2698. -2698.]	[ 2.29   2.458  4.586  3.003  2.583 -0.723  1.205  2.967]
224	[-3995. -3995.  1023. -3995. -3995.]	[ 3.161  4.398  5.     2.865  3.898 -0.218  3.484  4.429]
394	[-2257. -2257. -2257. -2257. -2257.]	[ 0.149  2.181  4.308  2.072  2.028 -1.031  0.795  2.158]
272	[-3114. -3114. -3114. -3114. -3114.]	[ 4.082  3.491  5.     2.784  3.061 -0.809  2.501  4.182]
249	[-3793. -3793.  1024. -3793. -3793.]	[ 3.999  4.098  5.     3.261  3.889 -0.451  3.093  4.972]
320	[-3050. -3050. -3050. -3050. -3050.]	[ 2.296  2.11   4.909  2.894  2.765 -0.647  1.949  3.38 ]
345	[-2124. -2124. -2124. -2124.  1043.]	[ 0.941  2.139  4.69   2.875  1.609 -1.126  1.344  1.846]
296	[-2420. -2420. -2420. -2420. -2420.]	[ 4.48   3.997  5.     2.478  2.353 -0.943  2.539  2.705]
370	[-2674. -2674. -2674. -2674. -2674.]	[ 1.803  2.416  4.404  2.972  2.498 -0.8    1.173  2.919]
273	[-3114. -3114. -3114. -3114. -3114.]	[ 4.067  3.488  5.     2.782  3.064 -0.812  2.498  4.183]
395	[-2257. -2257. -2257. -2257.  1036.]	[ 0.032  2.286  4.193  2.037  1.988 -1.072  0.792  2.185]
425	[-2081. -2086. -2081. -2102. -2102.]	[ 0.     1.379  2.212  3.222  1.168 -0.95   2.137  1.696]
400	[-2222. -2222. -2222. -2222. -2222.]	[ 0.     1.311  3.817  2.481  1.613 -0.921  1.168  2.181]
346	[-2187. -2187. -2187. -2187. -2187.]	[ 1.396  2.413  4.835  2.957  1.799 -1.116  1.4    1.871]
297	[-2421. -2421. -2421. -2421. -2421.]	[ 4.473  4.003  5.     2.473  2.358 -0.943  2.534  2.697]
274	[-3114. -3114.  1030. -3114. -3114.]	[ 4.107  3.493  5.     2.795  3.075 -0.809  2.503  4.201]
321	[-2994. -2994. -2994. -2994. -2994.]	[ 2.345  2.171  5.     3.012  2.928 -0.617  1.759  3.486]
371	[-2698. -2698. -2698. -2698. -2698.]	[ 1.885  2.514  4.43   2.943  2.531 -0.804  1.185  2.964]
426	[ 1039. -2213. -2205. -2213. -2205.]	[ 0.     1.428  4.268  3.395  1.474 -0.872  0.76   2.211]
401	[ 1041. -2161. -2161. -2161. -2161.]	[ 0.     1.369  3.798  3.187  1.298 -0.905  0.869  2.4  ]
396	[-2242. -2242. -2242. -2242. -2242.]	[ 0.     2.424  4.098  2.035  1.933 -1.104  0.805  2.209]
322	[-3024. -3024. -3024. -3024. -3024.]	[ 1.4    2.253  4.621  3.021  2.401 -0.662  1.756  2.513]
347	[-2210. -2210. -2210. -2210. -2210.]	[ 1.065  2.957  4.421  2.816  1.909 -1.175  1.269  1.711]
372	[-2742. -2742. -2742. -2742. -2742.]	[ 2.228  2.636  4.623  2.914  2.62  -0.762  1.229  2.989]
450	[-2179. -2179. -2179. -2179. -2179.]	[ 0.     1.196  3.113  1.547  1.161 -0.879  2.468  4.266]
298	[-2422. -2422. -2422. -2422. -2422.]	[ 4.472  4.006  5.     2.471  2.359 -0.942  2.532  2.695]
402	[-2179. -2179. -2179. -2179. -2179.]	[ 0.     1.38   3.877  2.956  1.319 -0.91   1.12   2.075]
427	[-2239. -2239. -2239. -2239. -2239.]	[ 0.     1.535  4.176  3.176  1.499 -0.861  0.768  2.182]
397	[-2258. -2258. -2258. -2258. -2258.]	[ 0.     2.531  4.157  2.132  1.876 -1.157  0.819  2.255]
451	[ 1037. -2189. -2189. -2189. -2189.]	[ 0.     1.29   2.744  1.559  1.114 -0.86   2.358  4.267]
299	[-2422. -2422.  1043. -2422. -2422.]	[ 4.462  3.998  5.     2.474  2.353 -0.944  2.535  2.698]
373	[-2738. -2738. -2738. -2738. -2738.]	[ 2.051  2.68   4.695  2.836  2.536 -0.764  1.199  2.891]
323	[-3062. -3062. -3062. -3062. -3062.]	[ 1.818  2.38   4.663  2.883  2.728 -0.672  1.942  2.72 ]
348	[-2224. -2224. -2224. -2224. -2224.]	[ 1.069  3.092  4.347  2.797  1.91  -1.181  1.27   1.718]
403	[-2209. -2209. -2209.  1040. -2209.]	[ 0.     1.49   4.032  2.67   1.419 -0.954  1.115  2.145]
428	[-2195. -2284. -2284.  1037. -2284.]	[ 0.     1.436  4.182  3.032  1.647 -0.785  0.726  2.279]
374	[-2760. -2760.  1030. -2760. -2760.]	[ 2.178  2.802  4.747  2.89   2.546 -0.753  1.184  2.938]
324	[-3042. -3042.  1028. -3042. -3042.]	[ 1.695  2.422  4.581  2.777  2.715 -0.694  1.959  2.739]
452	[-2319. -2319. -2319. -2319. -2319.]	[ 0.     1.444  3.393  3.044  0.729 -0.986  2.45   3.308]
398	[-2259. -2259. -2259. -2259. -2259.]	[ 0.     2.544  4.239  2.223  1.857 -1.193  0.803  2.278]
475	[-2027. -2033. -2027. -2033. -2033.]	[ 0.     1.255  2.936  2.43   1.259 -1.399  2.908  3.239]
349	[-2234. -2234.  1042. -2234. -2234.]	[ 1.325  3.232  4.314  2.832  2.023 -1.14   1.246  1.743]
404	[-2167. -2167. -2167. -2167. -2167.]	[ 0.     1.391  3.876  2.338  1.571 -0.97   1.175  2.158]
399	[-2268. -2268.  1035. -2268. -2268.]	[ 0.     2.571  4.277  2.272  1.877 -1.202  0.777  2.27 ]
429	[-2251. -2324. -2324. -2324. -2324.]	[ 0.     1.514  4.106  2.99   1.556 -0.785  0.745  2.469]
476	[ 1036. -1883. -1883. -1645. -1883.]	[ 0.     0.957  3.207  1.947  1.496 -1.514  3.064  3.285]
453	[-2375. -2375. -2375.  1036. -2375.]	[ 0.     1.428  3.189  2.987  0.969 -1.029  2.901  2.429]
500	[-1603. -1603. -1603. -1603. -1603.]	[ 0.     0.394  3.245  2.834  0.679 -0.693  1.693  2.053]
525	[-1226. -1202. -1202. -1226. -1226.]	[ 0.     0.683  1.459  2.508  0.602 -0.908  1.977  2.242]
550	[-936. -905. -905. -993. -993.]	[ 0.     0.352  3.934  1.805 -0.007 -1.4    3.524  4.234]
405	[-2198. -2198. -2198. -2198. -2198.]	[ 0.     1.502  3.739  2.345  1.588 -0.98   1.114  2.237]
501	[ 1133.  1133. -1371. -1371. -1288.]	[ 0.     0.354  1.509  2.628  0.586 -0.481  1.896  2.203]
430	[-2179. -2179. -2179. -2179. -2179.]	[ 0.     1.558  4.042  3.395  1.356 -0.894  0.789  2.612]
454	[-2409. -2409. -2409. -2409. -2409.]	[ 0.     1.293  3.394  2.902  1.269 -1.002  2.625  2.385]
477	[-2037. -2037. -2037. -2037. -2037.]	[ 0.     1.146  3.372  3.311  1.046 -1.359  2.406  3.044]
406	[-2294. -2294.  1038. -2294.  1038.]	[ 0.     1.636  3.861  2.27   1.817 -1.001  1.077  2.392]
575	[-854. -866. -866. -854. -857.]	[ 0.     0.351  3.258  2.594  0.588 -2.009  3.528  3.188]
526	[ 1067. -1316. -1316. -1316. -1316.]	[ 0.     0.736  3.338  2.178  0.407 -1.054  2.24   1.816]
551	[1053. -938. -938. -885. -938.]	[ 0.    -0.408  1.709  1.284  1.067 -0.623  2.034  3.559]
431	[-2210. -2210.  1036. -2128. -2210.]	[ 0.     1.609  3.939  3.529  1.374 -0.89   0.739  2.516]
407	[ 1037. -2321. -2321. -2321. -2321.]	[ 0.     1.7    3.733  2.259  1.844 -1.039  1.101  2.55 ]
478	[-2012. -2012. -2012.  1035. -2012.]	[ 0.     1.278  3.44   3.975  0.755 -1.203  2.535  2.007]
502	[-1305. -1306. -1283. -1283. -1306.]	[ 0.     0.433  1.7    1.908  0.674 -0.602  2.276  1.913]
455	[-2338. -2338. -2338. -2338. -2338.]	[ 0.     1.198  3.066  2.887  1.478 -1.113  2.908  2.873]
576	[1048. -704. -752. -740. -752.]	[ 0.     0.097  3.166  2.26   0.791 -1.858  2.713  2.927]
527	[-1315. -1302. -1302. -1315. -1302.]	[ 0.     0.825  3.356  1.994  0.419 -1.071  2.296  1.765]
432	[ 1036. -2323. -2323. -2323. -2257.]	[ 0.     1.64   4.093  3.364  1.617 -0.976  0.785  2.769]
552	[-952. -964. -952. -964. -952.]	[ 0.     0.251  4.027  3.552  0.85  -2.185  3.005  3.782]
408	[-2308. -2308. -2308. -2308. -2308.]	[ 0.     1.674  3.92   2.124  1.962 -0.997  1.034  2.407]
456	[-2203. -2203.  1035. -2203. -2203.]	[ 0.     1.087  3.06   2.956  1.693 -1.355  2.683  3.417]
503	[-1402. -1409. -1414.  1075. -1402.]	[ 0.     0.592  2.962  2.055  0.661 -0.713  2.216  1.329]
479	[-2007. -2007. -2007. -2007. -2007.]	[ 0.     0.352  3.451  3.122  1.089 -0.839  1.935  3.116]
528	[-1388. -1388. -1388.  1053. -1388.]	[ 0.     0.233  3.253  2.792  0.219 -0.762  1.595  3.571]
577	[-860. -860. -860. -701. 1046.]	[ 0.    -0.075  3.423  2.943  0.343 -1.204  1.849  2.576]
433	[-2338. -2338. -2338. -2338. -2338.]	[ 0.     1.677  4.326  3.238  1.515 -0.929  0.775  2.657]
457	[ 1035. -2337. -2337. -2337. -2337.]	[ 0.     1.313  3.1    3.275  1.358 -1.268  2.586  3.407]
553	[-1110. -1110. -1110. -1110. -1110.]	[ 0.     1.02   2.535  2.539  0.462 -1.649  2.364  2.438]
409	[-2319. -2319. -2319. -2319. -2319.]	[ 0.     1.708  3.878  2.022  2.023 -1.002  1.07   2.373]
504	[-1290. -1299. -1336. -1296. -1299.]	[ 0.     0.32   3.937  2.374  0.305 -1.037  2.836  2.254]
480	[-1897. -1897. -1897. -1897. -1897.]	[ 0.02   0.571  3.272  2.844  0.748 -0.674  1.865  2.226]
434	[-2384. -2384. -2384. -2384. -2384.]	[ 0.     1.624  4.437  3.345  1.764 -0.867  0.71   2.37 ]
529	[-1405. -1407. -1394. -1405. -1405.]	[ 0.     0.685  3.312  1.768  0.195 -1.135  2.765  3.662]
578	[-676. -800. -800. -800. -800.]	[ 0.    -0.044  3.017  3.079  0.437 -1.01   1.406  1.934]
458	[-2317. -2317. -2317. -2317. -2317.]	[ 0.     1.37   2.903  3.753  0.945 -0.988  2.237  2.797]
554	[-1159. -1159. -1159. -1159. -1159.]	[ 0.     0.087  3.3    3.328  0.679 -1.028  1.705  1.859]
410	[-2244. -2244. -2244. -2244. -2244.]	[ 0.     1.719  3.726  2.036  1.994 -1.024  1.051  2.426]
481	[-1629. -1629.  1074. -1577. -1629.]	[ 0.     0.4    1.477  2.784  0.688 -0.47   2.154  2.428]
505	[-1451. -1451. -1451. -1451. -1451.]	[ 0.     0.742  1.532  2.511  0.698 -0.875  2.083  2.427]
435	[-2371. -2371. -2264. -2371. -2264.]	[ 0.     1.659  4.402  3.468  1.814 -0.922  0.688  2.515]
